"municip_name","municip_number","municip_number_old","water_entity_id"
"Bindal","1811",1811,"vegafjorden_0360000030_c"
"Somna","1812",1812,"vegafjorden_0360000030_c"
"Bronnoy","1813",1813,"vegafjorden_0360000030_c"
"Vega","1815",1815,"vegafjorden_0360000030_c"
"Bindal","1811",1811,"roingen_0360010100_2_c"
"Somna","1812",1812,"roingen_0360010100_2_c"
"Bindal","1811",1811,"kjelda_ost_0360010200_6_c"
"Bindal","1811",1811,"bursvikbotn_0360010500_1_c"
"Bindal","1811",1811,"lysfjorden_0360010500_2_c"
"Bindal","1811",1811,"bindalsfjorden_0360010600_1_c"
"Bindal","1811",1811,"reppsundet_0360010600_2_c"
"Bindal","1811",1811,"terrakfjorden_0360010600_3_c"
"Bindal","1811",1811,"oyfjorden_0360010600_4_c"
"Bindal","1811",1811,"sorfjorden_indre_0360010700_1_c"
"Bindal","1811",1811,"sorfjorden_midtre_0360010700_2_c"
"Bindal","1811",1811,"sorfjorden_ytre_0360010700_3_c"
"Bindal","1811",1811,"simlebotn_0360010800_c"
"Bindal","1811",1811,"kollbotnet_0360010900_c"
"Bindal","1811",1811,"osan_0360011000_c"
"Bindal","1811",1811,"tosen_ytre_0360011100_1_c"
"Bronnoy","1813",1813,"tosen_ytre_0360011100_1_c"
"Bindal","1811",1811,"tosen_indre_0360011100_2_c"
"Bronnoy","1813",1813,"tosen_indre_0360011100_2_c"
"Bindal","1811",1811,"skotnesfjorden_0360011200_1_c"
"Bindal","1811",1811,"selfjorden_0360011200_2_c"
"Bindal","1811",1811,"hardangsfjorden_0360011300_1_c"
"Bindal","1811",1811,"hovoysundet_0360011300_2_c"
"Bindal","1811",1811,"oysundet_0360011300_3_c"
"Bindal","1811",1811,"ursfjorden_ytre_0360011400_1_c"
"Somna","1812",1812,"ursfjorden_ytre_0360011400_1_c"
"Somna","1812",1812,"brekkosen_0360011400_2_c"
"Somna","1812",1812,"ursfjorden_indre_0360011400_3_c"
"Bronnoy","1813",1813,"ursfjorden_indre_0360011400_3_c"
"Somna","1812",1812,"storvika_0360011500_1_c"
"Somna","1812",1812,"gravfjorden_0360011500_2_c"
"Bronnoy","1813",1813,"gravfjorden_0360011500_2_c"
"Somna","1812",1812,"lyngvaerfjorden_0360011600_1_c"
"Somna","1812",1812,"sandvagen_vikvagen_0360011600_2_c"
"Somna","1812",1812,"somnesvika_0360020100_1_c"
"Bronnoy","1813",1813,"somnesvika_0360020100_1_c"
"Somna","1812",1812,"oysjoen_0360020100_2_c"
"Somna","1812",1812,"sorbotnet_0360020100_3_c"
"Somna","1812",1812,"nordbotnet_0360020200_c"
"Bronnoy","1813",1813,"nordbotnet_0360020200_c"
"Bronnoy","1813",1813,"torgfjorden_0360020300_1_c"
"Bronnoy","1813",1813,"royrskjeran_0360020300_2_c"
"Bronnoy","1813",1813,"skillbotnfjorden_0360020300_3_c"
"Bronnoy","1813",1813,"tverroya_0360020400_1_c"
"Bronnoy","1813",1813,"smiholmen_0360020400_2_c"
"Bronnoy","1813",1813,"urdstabbvika_0360020400_3_c"
"Bronnoy","1813",1813,"buoya_0360020400_4_c"
"Bronnoy","1813",1813,"syltrevagen_0360020400_5_c"
"Bronnoy","1813",1813,"traelvikstraumen_0360020500_1_c"
"Bronnoy","1813",1813,"traelvikosen_0360020500_2_c"
"Bronnoy","1813",1813,"hjartoybukta_0360020600_1_c"
"Bronnoy","1813",1813,"svarthopen_0360020600_3_c"
"Bronnoy","1813",1813,"bronnoysundet_sor_0360020600_4_c"
"Bronnoy","1813",1813,"bronnoysundet_nord_0360020600_5_c"
"Bronnoy","1813",1813,"tilremfjorden_0360020700_1_c"
"Bronnoy","1813",1813,"salhus_0360020700_2_c"
"Bronnoy","1813",1813,"trongnessundet_0360020800_c"
"Bronnoy","1813",1813,"kattsundet_0360020900_1_c"
"Bronnoy","1813",1813,"toftsundet_0360020900_2_c"
"Bronnoy","1813",1813,"skutstoa_0360021000_c"
"Vega","1815",1815,"ytre_vega_nord_0361000030_c"
"Heroy","1818",1818,"ytre_vega_nord_0361000030_c"
"Vega","1815",1815,"floholmene_0361000031_c"
"Heroy","1818",1818,"floholmene_0361000031_c"
"Donna","1827",1827,"floholmene_0361000031_c"
"Traena","1835",1835,"floholmene_0361000031_c"
"Bronnoy","1813",1813,"vegafjorden_ylvingen_0361010100_c"
"Vega","1815",1815,"vegafjorden_ylvingen_0361010100_c"
"Vevelstad","1816",1816,"vegafjorden_ylvingen_0361010100_c"
"Alstahaug","1820",1820,"vegafjorden_ylvingen_0361010100_c"
"Vega","1815",1815,"vagoyfjorden_0361010200_c"
"Vega","1815",1815,"gladstadosen_0361010300_c"
"Vega","1815",1815,"vegsteinvika_0361010400_c"
"Vega","1815",1815,"lisorasa_0361010500_c"
"Heroy","1818",1818,"lisorasa_0361010500_c"
"Alstahaug","1820",1820,"lisorasa_0361010500_c"
"Vega","1815",1815,"omnoyfjorden_0361010600_c"
"Heroy","1818",1818,"omnoyfjorden_0361010600_c"
"Alstahaug","1820",1820,"omnoyfjorden_0361010600_c"
"Vega","1815",1815,"skjaervaer_0361010700_1_c"
"Vega","1815",1815,"flovaer_0361010700_2_c"
"Heroy","1818",1818,"flovaer_0361010700_2_c"
"Vevelstad","1816",1816,"anddalsvagen_0361020100_1_c"
"Bronnoy","1813",1813,"velfjorden_0361020100_2_c"
"Vevelstad","1816",1816,"velfjorden_0361020100_2_c"
"Bronnoy","1813",1813,"sorfjorden_0361020200_c"
"Bronnoy","1813",1813,"buasvagen_0361020300_1_c"
"Bronnoy","1813",1813,"dyrnesvagen_0361020300_2_c"
"Bronnoy","1813",1813,"heggefjorden_0361020400_c"
"Bronnoy","1813",1813,"langfjorden_indre_0361020500_1_c"
"Bronnoy","1813",1813,"langfjorden_ytre_0361020500_2_c"
"Bronnoy","1813",1813,"storborja_0361020600_c"
"Bronnoy","1813",1813,"litjeborja_0361020700_c"
"Bronnoy","1813",1813,"lislfjorden_0361020800_1_c"
"Bronnoy","1813",1813,"storfjorden_0361020800_2_c"
"Bronnoy","1813",1813,"okfjorden_0361020900_c"
"Vevelstad","1816",1816,"velvelstadsundet_0361030100_c"
"Vevelstad","1816",1816,"innervisten_0361030201_c"
"Vevelstad","1816",1816,"strandbukta_0361030202_1_c"
"Vevelstad","1816",1816,"langkilvagen_indre_0361030202_2_c"
"Vevelstad","1816",1816,"langkilvagen_ytre_0361030202_3_c"
"Vevelstad","1816",1816,"visten_midtre_0361030202_4_c"
"Vevelstad","1816",1816,"visten_ytre_0361030202_5_c"
"Vevelstad","1816",1816,"mindvaerfjorden_0361030300_c"
"Alstahaug","1820",1820,"mindvaerfjorden_0361030300_c"
"Vevelstad","1816",1816,"stokkafjorden_0361030400_c"
"Alstahaug","1820",1820,"stokkafjorden_0361030400_c"
"Vefsn","1824",1824,"stokkafjorden_0361030400_c"
"Alstahaug","1820",1820,"trosundet_0361030500_c"
"Vefsn","1824",1824,"sorfjorden_0361030600_c"
"Vefsn","1824",1824,"halsfjorden_0361030700_2_c"
"Alstahaug","1820",1820,"tjotta_havn_0361030800_1_c"
"Alstahaug","1820",1820,"tjottfjorden_indre_0361030800_2_c"
"Vefsn","1824",1824,"tjottfjorden_indre_0361030800_2_c"
"Alstahaug","1820",1820,"tjotta_0361030900_c"
"Alstahaug","1820",1820,"hamnesleia_0361031000_c"
"Alstahaug","1820",1820,"rosoyvalen_alstahaugfjorden_0361031100_c"
"Alstahaug","1820",1820,"tjottfjorden_ytre_0361031200_c"
"Leirfjord","1822",1822,"vefsnfjorden_indre_0361040101_c"
"Vefsn","1824",1824,"vefsnfjorden_indre_0361040101_c"
"Leirfjord","1822",1822,"vefsnfjorden_midtre_0361040102_1_c"
"Vefsn","1824",1824,"vefsnfjorden_midtre_0361040102_1_c"
"Alstahaug","1820",1820,"vefsnfjorden_ytre_0361040102_2_c"
"Leirfjord","1822",1822,"vefsnfjorden_ytre_0361040102_2_c"
"Vefsn","1824",1824,"vefsnfjorden_ytre_0361040102_2_c"
"Leirfjord","1822",1822,"sundet_0361040200_c"
"Alstahaug","1820",1820,"leirfjorden_ytre_0361040300_1_c"
"Leirfjord","1822",1822,"leirfjorden_ytre_0361040300_1_c"
"Leirfjord","1822",1822,"leirfjorden_indre_0361040300_2_c"
"Alstahaug","1820",1820,"botnfjorden_0361040400_c"
"Alstahaug","1820",1820,"leirfjorden_leinesodden_0361040500_1_c"
"Leirfjord","1822",1822,"leirfjorden_leinesodden_0361040500_1_c"
"Alstahaug","1820",1820,"sandnesvagen_0361040500_2_c"
"Leirfjord","1822",1822,"meisfjorden_0361040600_c"
"Alstahaug","1820",1820,"sandnessjoen_havn_0361040700_2_c"
"Alstahaug","1820",1820,"ulvangen_0361040700_3_c"
"Leirfjord","1822",1822,"ulvangen_0361040700_3_c"
"Donna","1827",1827,"ulvangen_0361040700_3_c"
"Alstahaug","1820",1820,"sandnessjoen_smabathavn_0361040700_4_c"
"Heroy","1818",1818,"alstenfjorden_0361040800_c"
"Alstahaug","1820",1820,"alstenfjorden_0361040800_c"
"Donna","1827",1827,"alstenfjorden_0361040800_c"
"Vega","1815",1815,"ytre_flesan_0361050100_c"
"Heroy","1818",1818,"ytre_flesan_0361050100_c"
"Heroy","1818",1818,"haeroysundet_sor_0361050200_2_c"
"Heroy","1818",1818,"heroysundet_0361050200_3_c"
"Vega","1815",1815,"husvaerfjorden_0361050200_4_c"
"Heroy","1818",1818,"husvaerfjorden_0361050200_4_c"
"Donna","1827",1827,"husvaerfjorden_0361050200_4_c"
"Donna","1827",1827,"skagafjorden_0361050300_c"
"Donna","1827",1827,"skagapollen_0361050400_c"
"Donna","1827",1827,"vikafjorden_0361050500_c"
"Donna","1827",1827,"lundstoa_0361050600_c"
"Donna","1827",1827,"kverva_0361050700_c"
"Heroy","1818",1818,"sorasvaerfjorden_0361050800_c"
"Donna","1827",1827,"sorasvaerfjorden_0361050800_c"
"Luroy","1834",1834,"sorasvaerfjorden_0361050800_c"
"Vega","1815",1815,"skipbatsvaerfjorden_0361050900_c"
"Heroy","1818",1818,"skipbatsvaerfjorden_0361050900_c"
"Donna","1827",1827,"skipbatsvaerfjorden_0361050900_c"
"Traena","1835",1835,"traena_havn_sor_0362000030_1_c"
"Donna","1827",1827,"traenfjorden_0362000030_2_c"
"Luroy","1834",1834,"traenfjorden_0362000030_2_c"
"Traena","1835",1835,"traenfjorden_0362000030_2_c"
"Rodoy","1836",1836,"traenfjorden_0362000030_2_c"
"Luroy","1834",1834,"ternholmfjorden_0362000031_c"
"Traena","1835",1835,"ternholmfjorden_0362000031_c"
"Rodoy","1836",1836,"ternholmfjorden_0362000031_c"
"Meloy","1837",1837,"ternholmfjorden_0362000031_c"
"Rodoy","1836",1836,"vestfjorden_ytre_0362000032_c"
"Meloy","1837",1837,"vestfjorden_ytre_0362000032_c"
"Rost","1856",1856,"vestfjorden_ytre_0362000032_c"
"Donna","1827",1827,"stigfjorden_0362010101_1_c"
"Nesna","1828",1828,"stigfjorden_0362010101_1_c"
"Donna","1827",1827,"sundstraumen_0362010101_2_c"
"Nesna","1828",1828,"alsovagen_0362010102_c"
"Donna","1827",1827,"vagsvagen_0362010200_c"
"Donna","1827",1827,"dalsvagen_0362010300_c"
"Leirfjord","1822",1822,"ranfjorden_lokta_0362010400_c"
"Donna","1827",1827,"ranfjorden_lokta_0362010400_c"
"Nesna","1828",1828,"ranfjorden_lokta_0362010400_c"
"Leirfjord","1822",1822,"lavongsbukta_0362010500_1_c"
"Leirfjord","1822",1822,"ranfjorden_sandnes_0362010500_2_c"
"Hemnes","1832",1832,"ranfjorden_sandnes_0362010500_2_c"
"Rana","1833",1833,"ranfjorden_sandnes_0362010500_2_c"
"Leirfjord","1822",1822,"ranfjorden_storvika_0362010500_3_c"
"Nesna","1828",1828,"ranfjorden_storvika_0362010500_3_c"
"Rana","1833",1833,"ranfjorden_storvika_0362010500_3_c"
"Hemnes","1832",1832,"leirviken_0362010600_c"
"Vefsn","1824",1824,"elsfjorden_0362010700_c"
"Hemnes","1832",1832,"elsfjorden_0362010700_c"
"Vefsn","1824",1824,"sorfjorden_0362010800_c"
"Hemnes","1832",1832,"sorfjorden_0362010800_c"
"Hemnes","1832",1832,"rossaen_0362010900_c"
"Hemnes","1832",1832,"ranfjorden_hemneshalvoya_0362011000_1_c"
"Rana","1833",1833,"ranfjorden_hemneshalvoya_0362011000_1_c"
"Rana","1833",1833,"ranfjorden_mo_0362011000_2_c"
"Hemnes","1832",1832,"finneidfjorden_0362011100_c"
"Rana","1833",1833,"sveet_0362011200_c"
"Rana","1833",1833,"utskarpen_0362011300_c"
"Nesna","1828",1828,"skogsleira_0362011400_1_c"
"Nesna","1828",1828,"litlsjona_0362011400_2_c"
"Luroy","1834",1834,"lovund_havn_0362020100_1_c"
"Donna","1827",1827,"nordasvaerfjorden_tomfjorden_0362020100_2_c"
"Nesna","1828",1828,"nordasvaerfjorden_tomfjorden_0362020100_2_c"
"Luroy","1834",1834,"nordasvaerfjorden_tomfjorden_0362020100_2_c"
"Rana","1833",1833,"sjona_indre_0362020201_1_c"
"Nesna","1828",1828,"sjona_indre_0362020201_2_c"
"Rana","1833",1833,"sjona_indre_0362020201_2_c"
"Luroy","1834",1834,"sjona_indre_0362020201_2_c"
"Nesna","1828",1828,"sjona_ytre_0362020202_c"
"Luroy","1834",1834,"sjona_ytre_0362020202_c"
"Luroy","1834",1834,"silavagen_0362020203_c"
"Luroy","1834",1834,"stigfjorden_0362020300_c"
"Luroy","1834",1834,"aldersund_0362020400_c"
"Luroy","1834",1834,"matskjerfjorden_0362020500_1_c"
"Luroy","1834",1834,"kvaroyfjorden_ytre_0362020500_2_c"
"Rodoy","1836",1836,"kvaroyfjorden_ytre_0362020500_2_c"
"Luroy","1834",1834,"faeroya_0362020500_3_c"
"Luroy","1834",1834,"kvina_0362020500_4_c"
"Luroy","1834",1834,"kvaroyfjorden_indre_0362020500_5_c"
"Luroy","1834",1834,"mavaerfjorden_0362020600_c"
"Traena","1835",1835,"mavaerfjorden_0362020600_c"
"Rodoy","1836",1836,"mavaerfjorden_0362020600_c"
"Luroy","1834",1834,"risvaerfjorden_0362030100_c"
"Rodoy","1836",1836,"risvaerfjorden_0362030100_c"
"Rodoy","1836",1836,"vaerangen_ytre_0362030200_c"
"Rodoy","1836",1836,"melfjorden_0362030300_c"
"Rodoy","1836",1836,"sorfjorden_indre_0362030401_c"
"Rodoy","1836",1836,"sorfjorden_midtre_0362030402_1_c"
"Rodoy","1836",1836,"sorfjorden_ytre_0362030402_2_c"
"Rodoy","1836",1836,"nordfjorden_0362030500_c"
"Rodoy","1836",1836,"kista_0362030601_c"
"Rodoy","1836",1836,"skjavika_0362030602_1_c"
"Rodoy","1836",1836,"vaerangen_indre_0362030602_2_c"
"Rodoy","1836",1836,"vaerangen_midtre_0362030602_3_c"
"Rodoy","1836",1836,"hopen_0362030700_1_c"
"Rodoy","1836",1836,"tjongsfjorden_ytre_0362030700_2_c"
"Rodoy","1836",1836,"tjongsfjorden_indre_0362030700_3_c"
"Rodoy","1836",1836,"reppa_0362030700_4_c"
"Rodoy","1836",1836,"rodoyfjorden_0362030800_c"
"Rodoy","1836",1836,"meloyvaer_0362040100_c"
"Meloy","1837",1837,"meloyvaer_0362040100_c"
"Meloy","1837",1837,"bolga_havn_0362040200_1_c"
"Rodoy","1836",1836,"bolgfjorden_0362040200_2_c"
"Meloy","1837",1837,"bolgfjorden_0362040200_2_c"
"Meloy","1837",1837,"skardsfjorden_indre_0362040300_1_c"
"Rodoy","1836",1836,"skardsfjorden_ytre_0362040300_2_c"
"Meloy","1837",1837,"skardsfjorden_ytre_0362040300_2_c"
"Meloy","1837",1837,"arhaugfjorden_0362040400_1_c"
"Meloy","1837",1837,"holandsfjorden_0362040400_2_c"
"Meloy","1837",1837,"nordfjorden_0362040500_c"
"Meloy","1837",1837,"bjerangsfjorden_0362040600_c"
"Meloy","1837",1837,"murholmen_0362040700_1_c"
"Meloy","1837",1837,"bogen_0362040700_2_c"
"Meloy","1837",1837,"amnessundet_0362040700_3_c"
"Meloy","1837",1837,"glomfjorden_indre_0362040800_1_c"
"Meloy","1837",1837,"meloyfjorden_glomfjorden_0362040800_2_c"
"Meloy","1837",1837,"eidet_0362040900_c"
"Meloy","1837",1837,"mesoyfjorden_0362041000_2_c"
"Meloy","1837",1837,"reipa(kobbsteinan)_0362041000_3_c"
"Meloy","1837",1837,"stigsundet_0362041000_4_c"
"Meloy","1837",1837,"stottafjorden_gasvaerfjorden_0362041100_c"
"Meloy","1837",1837,"maoyleia_0362041200_1_c"
"Meloy","1837",1837,"maoyleia_0362041200_2_c"
"Vestvagoy","1860",1860,"stamsund_havn_0363000030_11_c"
"Bodo","1804",1804,"vestfjorden_midtre_0363000030_12_c"
"Meloy","1837",1837,"vestfjorden_midtre_0363000030_12_c"
"Steigen","1848",1848,"vestfjorden_midtre_0363000030_12_c"
"Rost","1856",1856,"vestfjorden_midtre_0363000030_12_c"
"Vaeroy","1857",1857,"vestfjorden_midtre_0363000030_12_c"
"Flakstad","1859",1859,"vestfjorden_midtre_0363000030_12_c"
"Vestvagoy","1860",1860,"vestfjorden_midtre_0363000030_12_c"
"Vagan","1865",1865,"vestfjorden_midtre_0363000030_12_c"
"Moskenes","1874",1874,"vestfjorden_midtre_0363000030_12_c"
"Vestvagoy","1860",1860,"buoy_stamsund_havn_0363000030_13_c"
"Moskenes","1874",1874,"tindsvagen_0363000030_1_c"
"Moskenes","1874",1874,"moskenesvagen_0363000030_2_c"
"Vestvagoy","1860",1860,"ballstad_0363000030_3_c"
"Bodo","1804",1804,"vestervagen_0363000030_5_c"
"Bodo","1804",1804,"helligvaer_ytterside_landegode_0363000030_7_c"
"Meloy","1837",1837,"helligvaer_ytterside_landegode_0363000030_7_c"
"Gildeskal","1838",1838,"helligvaer_ytterside_landegode_0363000030_7_c"
"Steigen","1848",1848,"helligvaer_ytterside_landegode_0363000030_7_c"
"Vagan","1865",1865,"henningsvaer_havn_0363000030_8_c"
"Vestvagoy","1860",1860,"vikbukta_0363000031_1_c"
"Vestvagoy","1860",1860,"vagspollen_0363000031_2_c"
"Vaeroy","1857",1857,"moskenes_flakstad_0363000031_3_c"
"Flakstad","1859",1859,"moskenes_flakstad_0363000031_3_c"
"Vestvagoy","1860",1860,"moskenes_flakstad_0363000031_3_c"
"Moskenes","1874",1874,"moskenes_flakstad_0363000031_3_c"
"Vestvagoy","1860",1860,"vagan_0363000032_1_c"
"Vagan","1865",1865,"vagan_0363000032_1_c"
"Hadsel","1866",1866,"vagan_0363000032_1_c"
"Bo","1867",1867,"vagan_0363000032_1_c"
"Vagan","1865",1865,"laukvika_0363000032_2_c"
"Meloy","1837",1837,"fugloyvaer_0363010100_c"
"Gildeskal","1838",1838,"fugloyvaer_0363010100_c"
"Bodo","1804",1804,"fleinvaerfjorden_0363010200_c"
"Gildeskal","1838",1838,"fleinvaerfjorden_0363010200_c"
"Meloy","1837",1837,"fugloyfjorden_0363010300_1_c"
"Gildeskal","1838",1838,"fugloyfjorden_0363010300_1_c"
"Gildeskal","1838",1838,"gildeskal_0363010300_2_c"
"Gildeskal","1838",1838,"sorarnoy_havn_0363010300_4_c"
"Gildeskal","1838",1838,"vag_havn_0363010300_6_c"
"Gildeskal","1838",1838,"sorarnoya_nordarnoya_0363010300_7_c"
"Gildeskal","1838",1838,"storvik_havn_i_gildeskal_0363010400_1_c"
"Gildeskal","1838",1838,"storviken_0363010400_2_c"
"Gildeskal","1838",1838,"stavsundet_0363010500_c"
"Gildeskal","1838",1838,"sorfjorden_indre_0363010600_1_c"
"Gildeskal","1838",1838,"alten_0363010600_2_c"
"Gildeskal","1838",1838,"sorfjorden_ytre_0363010600_3_c"
"Gildeskal","1838",1838,"morsdalsfjorden_indre_0363010700_1_c"
"Gildeskal","1838",1838,"morsdalsfjorden_ytre_0363010700_2_c"
"Gildeskal","1838",1838,"sundsfjorden_indre_0363010800_1_c"
"Gildeskal","1838",1838,"sundsfjorden_ytre_0363010800_2_c"
"Gildeskal","1838",1838,"holmsundfjorden_0363010800_3_c"
"Gildeskal","1838",1838,"beiarfjorden_ytre_0363010900_1_c"
"Gildeskal","1838",1838,"ertenvag_0363011000_1_c"
"Bodo","1804",1804,"nordfjorden_0363011000_2_c"
"Gildeskal","1838",1838,"nordfjorden_0363011000_2_c"
"Bodo","1804",1804,"saltfjorden_ytre_0363011100_1_c"
"Gildeskal","1838",1838,"saltfjorden_ytre_0363011100_1_c"
"Bodo","1804",1804,"saltfjorden_indre_0363011100_2_c"
"Gildeskal","1838",1838,"saltfjorden_indre_0363011100_2_c"
"Bodo","1804",1804,"hopen_0363011100_3_c"
"Bodo","1804",1804,"landegodefjorden_0363011200_1_c"
"Bodo","1804",1804,"bodo_havn_0363011200_2_c"
"Bodo","1804",1804,"hjartoysundet_nyholmsundet_0363011200_3_c"
"Bodo","1804",1804,"ytre_sundan_0363020100_c"
"Bodo","1804",1804,"trongsmoget_0363020200_1_c"
"Bodo","1804",1804,"fjellvika_0363020200_2_c"
"Bodo","1804",1804,"elvefjorden_0363020300_c"
"Bodo","1804",1804,"indre_sundan_0363020400_c"
"Bodo","1804",1804,"skjaerstadfjorden_0363020500_c"
"Fauske","1841",1841,"skjaerstadfjorden_0363020500_c"
"Bodo","1804",1804,"misvaerfjorden_ytre_0363020600_1_c"
"Bodo","1804",1804,"misvaerfjorden_indre_0363020600_2_c"
"Saltdal","1840",1840,"rognan_0363020700_1_c"
"Bodo","1804",1804,"saltdalsfjorden_0363020700_3_c"
"Saltdal","1840",1840,"saltdalsfjorden_0363020700_3_c"
"Fauske","1841",1841,"saltdalsfjorden_0363020700_3_c"
"Fauske","1841",1841,"fauskevika_0363020900_c"
"Fauske","1841",1841,"klungsetvika_0363021000_c"
"Bodo","1804",1804,"valnesfjorden_0363021102_c"
"Fauske","1841",1841,"valnesfjorden_0363021102_c"
"Bodo","1804",1804,"karlsoyfjorden_sondre_0363030100_1_c"
"Bodo","1804",1804,"karlsoyfjorden_nordre_0363030100_2_c"
"Bodo","1804",1804,"mistfjorden_0363030200_c"
"Bodo","1804",1804,"tommervika_storvika_0363030301_c"
"Bodo","1804",1804,"sorfjorden_indre_0363030302_c"
"Bodo","1804",1804,"sorfjorden_ytre_0363030303_c"
"Bodo","1804",1804,"nordfjorden_0363030400_c"
"Bodo","1804",1804,"folda_0363030500_c"
"Sorfold","1845",1845,"folda_0363030500_c"
"Steigen","1848",1848,"folda_0363030500_c"
"Sorfold","1845",1845,"sorfolda_indre_0363030601_c"
"Sorfold","1845",1845,"revsfjorden_0363030602_1_c"
"Steigen","1848",1848,"revsfjorden_0363030602_1_c"
"Sorfold","1845",1845,"hopen_0363030602_2_c"
"Sorfold","1845",1845,"styrkesnes_indre_0363030602_4_c"
"Bodo","1804",1804,"sorfolda_ytre_0363030602_5_c"
"Sorfold","1845",1845,"sorfolda_ytre_0363030602_5_c"
"Bodo","1804",1804,"nevelsfjord_indre_0363030701_c"
"Bodo","1804",1804,"nevelsfjord_ytre_0363030702_c"
"Bodo","1804",1804,"eidekjosen_0363030800_c"
"Sorfold","1845",1845,"sjunkfjorden_indre_0363030900_1_c"
"Sorfold","1845",1845,"sjunkfjorden_ytre_0363030900_2_c"
"Sorfold","1845",1845,"nordfjorden_0363031000_1_c"
"Sorfold","1845",1845,"torrfjordelva_0363031000_2_c"
"Sorfold","1845",1845,"torrfjorden_0363031000_3_c"
"Sorfold","1845",1845,"leirfjorden_0363031100_c"
"Sorfold","1845",1845,"botnfjorden_0363031201_c"
"Sorfold","1845",1845,"sagfjorden_0363031202_c"
"Steigen","1848",1848,"brattfjorden_indre_0363031300_1_c"
"Steigen","1848",1848,"nordfold_havn_0363031300_3_c"
"Steigen","1848",1848,"nordfolda_0363031300_4_c"
"Steigen","1848",1848,"vinkfjorden_0363031400_c"
"Steigen","1848",1848,"stavfjorden_0363031500_c"
"Sorfold","1845",1845,"morsvikbotn_0363031600_c"
"Sorfold","1845",1845,"morsvikfjorden_0363031700_c"
"Steigen","1848",1848,"morsvikfjorden_0363031700_c"
"Steigen","1848",1848,"balkjosen_0363031800_c"
"Bodo","1804",1804,"folda_andholmfjorden_0363031900_c"
"Steigen","1848",1848,"folda_andholmfjorden_0363031900_c"
"Steigen","1848",1848,"botnfjorden_0363032000_c"
"Steigen","1848",1848,"leinesfjorden_0363032100_c"
"Steigen","1848",1848,"lilandsfjorden_0363032200_c"
"Steigen","1848",1848,"skotsfjorden_indre_0363032300_1_c"
"Steigen","1848",1848,"skotsfjorden_ytre_0363032300_2_c"
"Moskenes","1874",1874,"djupfjorden_0363040100_c"
"Moskenes","1874",1874,"reine_havn_0363040200_1_c"
"Moskenes","1874",1874,"hamnoy_0363040200_3_c"
"Moskenes","1874",1874,"kjerkfjorden_ytre_0363040200_4_c"
"Moskenes","1874",1874,"forsfjorden_0363040300_c"
"Moskenes","1874",1874,"bunesfjorden_0363040400_c"
"Moskenes","1874",1874,"kjerkfjorden_indre_0363040500_c"
"Flakstad","1859",1859,"sundstraumen_0363040600_2_c"
"Flakstad","1859",1859,"sundvagen_0363040600_3_c"
"Flakstad","1859",1859,"kakersundet_0363040600_4_c"
"Flakstad","1859",1859,"selfjorden_0363040700_1_c"
"Flakstad","1859",1859,"torsfjorden_indre_0363040700_2_c"
"Flakstad","1859",1859,"ramberg_havn_0363040700_4_c"
