"","Municip_number","Municip_name","Year","average_locs_above_thr","average_prop_locs_above_thr","average_locs_below_thr","average_prop_locs_below_thr"
"1",1804,"Bodo",2012,0,0,1.58620689655172,1
"2",1804,"Bodo",2013,0,0,1.22222222222222,1
"3",1804,"Bodo",2014,0,0,1.50980392156863,1
"4",1804,"Bodo",2015,0,0,1.76190476190476,1
"5",1804,"Bodo",2016,0.0961538461538462,0.0336538461538462,2.38461538461538,0.966346153846154
"6",1804,"Bodo",2017,0.346153846153846,0.101602564102564,2.84615384615385,0.898397435897436
"7",1804,"Bodo",2018,0.192307692307692,0.0807692307692308,3.34615384615385,0.919230769230769
"8",1804,"Bodo",2019,0,0,2.92307692307692,1
"9",1805,"Narvik",2012,0,0,1,1
"10",1805,"Narvik",2013,0,0,1,1
"11",1805,"Narvik",2014,0,0,1,1
"12",1805,"Narvik",2015,0.0222222222222222,0.0222222222222222,0.977777777777778,0.977777777777778
"13",1805,"Narvik",2016,0,0,1,1
"14",1805,"Narvik",2018,0,0,1,1
"15",1805,"Narvik",2019,0,0,1,1
"16",1811,"Bindal",2012,0.146341463414634,0.109756097560976,1.39024390243902,0.890243902439024
"17",1811,"Bindal",2013,0.276595744680851,0.191489361702128,1.23404255319149,0.808510638297872
"18",1811,"Bindal",2014,0.0612244897959184,0.0306122448979592,1.51020408163265,0.969387755102041
"19",1811,"Bindal",2015,0.0377358490566038,0.0141509433962264,3.0377358490566,0.985849056603774
"20",1811,"Bindal",2016,0,0,3.25,1
"21",1811,"Bindal",2017,0.0961538461538462,0.0272435897435897,3.53846153846154,0.97275641025641
"22",1811,"Bindal",2018,0,0,2.675,1
"23",1811,"Bindal",2019,0,0,3.69230769230769,1
"24",1812,"Somna",2012,0,0,1,1
"25",1812,"Somna",2013,0.5,0.260869565217391,1.10869565217391,0.739130434782609
"26",1812,"Somna",2014,0.458333333333333,0.25,1.16666666666667,0.75
"27",1812,"Somna",2016,0,0,1,1
"28",1812,"Somna",2017,0,0,1.57692307692308,1
"29",1812,"Somna",2018,0,0,1.47222222222222,1
"30",1812,"Somna",2019,0,0,1,1
"31",1813,"Bronnoy",2012,0.346153846153846,0.116987179487179,2.82692307692308,0.88301282051282
"32",1813,"Bronnoy",2013,0.68,0.208333333333333,2.4,0.791666666666667
"33",1813,"Bronnoy",2014,0.365384615384615,0.123397435897436,2.67307692307692,0.876602564102564
"34",1813,"Bronnoy",2015,0.188679245283019,0.0628930817610063,3.45283018867925,0.937106918238994
"35",1813,"Bronnoy",2016,0.192307692307692,0.0689102564102564,2.19230769230769,0.931089743589744
"36",1813,"Bronnoy",2017,0.0769230769230769,0.0134615384615385,3.76923076923077,0.986538461538462
"37",1813,"Bronnoy",2018,0.230769230769231,0.0418956043956044,4.90384615384615,0.958104395604396
"38",1813,"Bronnoy",2019,0.230769230769231,0.0384615384615385,4.76923076923077,0.961538461538462
"39",1815,"Vega",2012,0.242424242424242,0.242424242424242,0.757575757575758,0.757575757575758
"40",1815,"Vega",2013,0.2,0.116666666666667,1.8,0.883333333333333
"41",1815,"Vega",2014,0.553191489361702,0.25886524822695,1.51063829787234,0.74113475177305
"42",1815,"Vega",2015,0,0,1.61538461538462,1
"43",1815,"Vega",2016,0.2,0.15,1.675,0.85
"44",1815,"Vega",2017,0,0,1.73076923076923,1
"45",1815,"Vega",2018,0.02,0.01,1.6,0.99
"46",1815,"Vega",2019,0,0,1.76923076923077,1
"47",1816,"Vevelstad",2012,0.0930232558139535,0.0348837209302326,1.69767441860465,0.965116279069767
"48",1816,"Vevelstad",2013,0.468085106382979,0.116666666666667,3.12765957446809,0.883333333333333
"49",1816,"Vevelstad",2014,0.901960784313726,0.298692810457516,1.23529411764706,0.701307189542484
"50",1816,"Vevelstad",2015,0.0188679245283019,0.00628930817610063,2.67924528301887,0.993710691823899
"51",1816,"Vevelstad",2016,0.105263157894737,0.087719298245614,1.86842105263158,0.912280701754386
"52",1816,"Vevelstad",2017,0,0,2.14285714285714,1
"53",1816,"Vevelstad",2018,0,0,2.78846153846154,1
"54",1816,"Vevelstad",2019,0,0,3.76923076923077,1
"55",1818,"Heroy",2012,0.627450980392157,0.128104575163399,3.29411764705882,0.871895424836601
"56",1818,"Heroy",2013,0.115384615384615,0.0259615384615385,3.61538461538462,0.974038461538462
"57",1818,"Heroy",2014,0.730769230769231,0.189102564102564,2.86538461538462,0.810897435897436
"58",1818,"Heroy",2015,0.207547169811321,0.0433962264150943,3.56603773584906,0.956603773584906
"59",1818,"Heroy",2016,0.403846153846154,0.0782051282051282,4.03846153846154,0.921794871794872
"60",1818,"Heroy",2017,0.192307692307692,0.0293040293040293,4.76923076923077,0.970695970695971
"61",1818,"Heroy",2018,0.115384615384615,0.0173992673992674,5.28846153846154,0.982600732600733
"62",1818,"Heroy",2019,0,0,5,1
"63",1820,"Alstahaug",2012,0.5,0.203333333333333,1.52,0.796666666666667
"64",1820,"Alstahaug",2013,0.0851063829787234,0.0319148936170213,1.95744680851064,0.968085106382979
"65",1820,"Alstahaug",2014,0.666666666666667,0.284313725490196,1.66666666666667,0.715686274509804
"66",1820,"Alstahaug",2015,0,0,2.11904761904762,1
"67",1820,"Alstahaug",2016,0.609756097560976,0.219512195121951,1.90243902439024,0.780487804878049
"68",1820,"Alstahaug",2017,0,0,1,1
"69",1820,"Alstahaug",2018,0.0277777777777778,0.0138888888888889,1.36111111111111,0.986111111111111
"70",1822,"Leirfjord",2012,0.419354838709677,0.32258064516129,0.774193548387097,0.67741935483871
"71",1822,"Leirfjord",2013,0,0,1.71428571428571,1
"72",1822,"Leirfjord",2015,0,0,1,1
"73",1822,"Leirfjord",2016,0.0192307692307692,0.0192307692307692,1.01923076923077,0.980769230769231
"74",1822,"Leirfjord",2017,0.1875,0.1875,0.8125,0.8125
"75",1822,"Leirfjord",2018,0,0,1,1
"76",1822,"Leirfjord",2019,0,0,1,1
"77",1824,"Vefsn",2012,0.32258064516129,0.32258064516129,0.67741935483871,0.67741935483871
"78",1824,"Vefsn",2013,0.03125,0.03125,0.96875,0.96875
"79",1824,"Vefsn",2014,0.342857142857143,0.342857142857143,0.657142857142857,0.657142857142857
"80",1824,"Vefsn",2015,0,0,1,1
"81",1824,"Vefsn",2016,0.108108108108108,0.108108108108108,0.891891891891892,0.891891891891892
"82",1824,"Vefsn",2017,0,0,1,1
"83",1824,"Vefsn",2018,0,0,1,1
"84",1824,"Vefsn",2019,0,0,1,1
"85",1827,"Donna",2012,0.159090909090909,0.109848484848485,1.59090909090909,0.890151515151515
"86",1827,"Donna",2013,0.0980392156862745,0.0522875816993464,2.2156862745098,0.947712418300654
"87",1827,"Donna",2014,0.137254901960784,0.0545751633986928,3.50980392156863,0.945424836601307
"88",1827,"Donna",2015,0.207547169811321,0.034681042228212,5.35849056603774,0.965318957771788
"89",1827,"Donna",2016,0.173076923076923,0.0355769230769231,4.44230769230769,0.964423076923077
"90",1827,"Donna",2017,0.192307692307692,0.0236568986568987,6.59615384615385,0.976343101343101
"91",1827,"Donna",2018,0.134615384615385,0.0283882783882784,4.73076923076923,0.971611721611722
"92",1827,"Donna",2019,0,0,6.76923076923077,1
"93",1828,"Nesna",2012,0.418604651162791,0.209302325581395,1.6046511627907,0.790697674418605
"94",1828,"Nesna",2013,0.186046511627907,0.116279069767442,1.32558139534884,0.883720930232558
"95",1828,"Nesna",2014,0.208333333333333,0.0868055555555556,2.39583333333333,0.913194444444444
"96",1828,"Nesna",2015,0.0869565217391304,0.0869565217391304,1.56521739130435,0.91304347826087
"97",1828,"Nesna",2016,0.0789473684210526,0.0526315789473684,1.44736842105263,0.947368421052632
"98",1828,"Nesna",2017,0.0967741935483871,0.0483870967741935,1.32258064516129,0.951612903225806
"99",1828,"Nesna",2018,0.0576923076923077,0.0288461538461538,1.30769230769231,0.971153846153846
"100",1828,"Nesna",2019,0,0,1,1
"101",1833,"Rana",2012,0.294117647058824,0.294117647058824,0.705882352941177,0.705882352941177
"102",1833,"Rana",2013,0.147058823529412,0.147058823529412,0.852941176470588,0.852941176470588
"103",1833,"Rana",2014,0.458333333333333,0.458333333333333,0.541666666666667,0.541666666666667
"104",1833,"Rana",2015,0.0384615384615385,0.0384615384615385,0.961538461538462,0.961538461538462
"105",1833,"Rana",2016,0.0857142857142857,0.0857142857142857,0.914285714285714,0.914285714285714
"106",1833,"Rana",2017,0,0,1,1
"107",1833,"Rana",2018,0,0,1,1
"108",1833,"Rana",2019,0,0,1,1
"109",1834,"Luroy",2012,1.09615384615385,0.152701465201465,4.53846153846154,0.847298534798535
"110",1834,"Luroy",2013,0.326923076923077,0.0464285714285714,4.78846153846154,0.953571428571429
"111",1834,"Luroy",2014,0.384615384615385,0.0549450549450549,5.46153846153846,0.945054945054945
"112",1834,"Luroy",2015,0.528301886792453,0.0923854447439353,5.60377358490566,0.907614555256065
"113",1834,"Luroy",2016,0.173076923076923,0.023046398046398,6.53846153846154,0.976953601953602
"114",1834,"Luroy",2017,0.346153846153846,0.0488400488400488,7.19230769230769,0.951159951159951
"115",1834,"Luroy",2018,0.211538461538462,0.0301816239316239,6.65384615384615,0.969818376068376
"116",1834,"Luroy",2019,0.0714285714285714,0.00892857142857143,6.92857142857143,0.991071428571429
"117",1835,"Traena",2012,0.176470588235294,0.161764705882353,1.17647058823529,0.838235294117647
"118",1835,"Traena",2013,0,0,1,1
"119",1835,"Traena",2014,0.0208333333333333,0.0208333333333333,0.979166666666667,0.979166666666667
"120",1835,"Traena",2015,0,0,1,1
"121",1835,"Traena",2016,0,0,1,1
"122",1835,"Traena",2017,0,0,1,1
"123",1835,"Traena",2018,0,0,1,1
"124",1835,"Traena",2019,0,0,1,1
"125",1836,"Rodoy",2012,0.730769230769231,0.113820207570208,4.73076923076923,0.886179792429792
"126",1836,"Rodoy",2013,0.384615384615385,0.052457264957265,5.61538461538461,0.947542735042735
"127",1836,"Rodoy",2014,0.480769230769231,0.0661935286935287,6.32692307692308,0.933806471306471
"128",1836,"Rodoy",2015,0.528301886792453,0.0574423480083857,7.26415094339623,0.942557651991614
"129",1836,"Rodoy",2016,0.192307692307692,0.035485347985348,3.69230769230769,0.964514652014652
"130",1836,"Rodoy",2017,0.134615384615385,0.029296398046398,4.78846153846154,0.970703601953602
"131",1836,"Rodoy",2018,0.25,0.0279380341880342,8.88461538461539,0.972061965811966
"132",1836,"Rodoy",2019,0,0,5.69230769230769,1
"133",1837,"Meloy",2012,0.25,0.0895833333333333,2.825,0.910416666666667
"134",1837,"Meloy",2013,0.186046511627907,0.102713178294574,1.62790697674419,0.897286821705426
"135",1837,"Meloy",2014,0.163265306122449,0.041156462585034,3.63265306122449,0.958843537414966
"136",1837,"Meloy",2015,0.25,0.0586538461538462,3.13461538461538,0.941346153846154
"137",1837,"Meloy",2016,0.153846153846154,0.0269230769230769,4.03846153846154,0.973076923076923
"138",1837,"Meloy",2017,0.423076923076923,0.0948717948717949,3.61538461538462,0.905128205128205
"139",1837,"Meloy",2018,0.0961538461538462,0.0166666666666667,5.07692307692308,0.983333333333333
"140",1837,"Meloy",2019,0,0,5.69230769230769,1
"141",1838,"Gildeskal",2012,0.711538461538462,0.11268315018315,4.25,0.88731684981685
"142",1838,"Gildeskal",2013,0.490196078431373,0.080578898225957,5.45098039215686,0.919421101774043
"143",1838,"Gildeskal",2014,0.846153846153846,0.132104700854701,5.34615384615385,0.867895299145299
"144",1838,"Gildeskal",2015,0.264150943396226,0.0337675950883498,7.35849056603774,0.96623240491165
"145",1838,"Gildeskal",2016,0.826923076923077,0.112026862026862,5.63461538461539,0.887973137973138
"146",1838,"Gildeskal",2017,0.211538461538462,0.0331501831501832,5.80769230769231,0.966849816849817
"147",1838,"Gildeskal",2018,0.192307692307692,0.0309065934065934,5.78846153846154,0.969093406593407
"148",1838,"Gildeskal",2019,0,0,6.69230769230769,1
"149",1840,"Saltdal",2012,0,0,1,1
"150",1840,"Saltdal",2013,0,0,1.54545454545455,1
"151",1840,"Saltdal",2014,0,0,1.52,1
"152",1840,"Saltdal",2015,0,0,1.5,1
"153",1840,"Saltdal",2016,0,0,1.57142857142857,1
"154",1840,"Saltdal",2017,0,0,1.16666666666667,1
"155",1840,"Saltdal",2018,0.0588235294117647,0.0294117647058824,1.47058823529412,0.970588235294118
"156",1840,"Saltdal",2019,0,0,2,1
"157",1841,"Fauske",2012,0,0,1.17857142857143,1
"158",1841,"Fauske",2013,0,0,1.72727272727273,1
"159",1841,"Fauske",2014,0,0,1,1
"160",1841,"Fauske",2015,0,0,1.125,1
"161",1841,"Fauske",2016,0,0,1,1
"162",1841,"Fauske",2017,0,0,1.38095238095238,1
"163",1841,"Fauske",2018,0,0,1.28205128205128,1
"164",1841,"Fauske",2019,0,0,1,1
"165",1845,"Sorfold",2012,0.288461538461538,0.0692307692307692,3.46153846153846,0.930769230769231
"166",1845,"Sorfold",2013,0.403846153846154,0.116987179487179,3.5,0.88301282051282
"167",1845,"Sorfold",2014,0.692307692307692,0.138782051282051,3.82692307692308,0.861217948717949
"168",1845,"Sorfold",2015,0.0754716981132075,0.0160377358490566,4.33962264150943,0.983962264150943
"169",1845,"Sorfold",2016,0.0192307692307692,0.00480769230769231,3.09615384615385,0.995192307692308
"170",1845,"Sorfold",2017,0.0961538461538462,0.0288461538461538,4.15384615384615,0.971153846153846
"171",1845,"Sorfold",2018,0.115384615384615,0.0326923076923077,3.34615384615385,0.967307692307692
"172",1845,"Sorfold",2019,0,0,4.30769230769231,1
"173",1848,"Steigen",2012,0.163265306122449,0.0285714285714286,4.3265306122449,0.971428571428571
"174",1848,"Steigen",2013,0.1,0.0159047619047619,4.5,0.984095238095238
"175",1848,"Steigen",2014,0.142857142857143,0.0258503401360544,5.08163265306122,0.974149659863946
"176",1848,"Steigen",2015,0.528301886792453,0.0903638814016172,5.05660377358491,0.909636118598383
"177",1848,"Steigen",2016,0.423076923076923,0.0612408424908425,5.67307692307692,0.938759157509158
"178",1848,"Steigen",2017,0.576923076923077,0.079739010989011,5.55769230769231,0.920260989010989
"179",1848,"Steigen",2018,0.346153846153846,0.049793956043956,5.73076923076923,0.950206043956044
"180",1848,"Steigen",2019,0,0,5.33333333333333,1
"181",1849,"Hamaroy",2012,0,0,1,1
"182",1849,"Hamaroy",2013,0,0,1.25531914893617,1
"183",1849,"Hamaroy",2014,0,0,1,1
"184",1849,"Hamaroy",2015,0,0,1,1
"185",1849,"Hamaroy",2016,0.0392156862745098,0.0196078431372549,1.23529411764706,0.980392156862745
"186",1849,"Hamaroy",2017,0,0,1.29268292682927,1
"187",1849,"Hamaroy",2018,0,0,1.36538461538462,1
"188",1849,"Hamaroy",2019,0,0,1.75,1
"189",1850,"Tysfjord",2012,0.0930232558139535,0.0209302325581395,3.23255813953488,0.97906976744186
"190",1850,"Tysfjord",2013,0.145833333333333,0.0302083333333333,4.58333333333333,0.969791666666667
"191",1850,"Tysfjord",2014,0.173076923076923,0.0293956043956044,5.17307692307692,0.970604395604396
"192",1850,"Tysfjord",2015,0.679245283018868,0.116554357592093,4.69811320754717,0.883445642407907
"193",1850,"Tysfjord",2016,0.365384615384615,0.0894230769230769,3.55769230769231,0.910576923076923
"194",1850,"Tysfjord",2017,0.0666666666666667,0.0333333333333333,2.93333333333333,0.966666666666667
"195",1850,"Tysfjord",2018,0.0384615384615385,0.00641025641025641,4.92307692307692,0.993589743589744
"196",1850,"Tysfjord",2019,0,0,2.53846153846154,1
"197",1851,"Lodingen",2012,0.238095238095238,0.111111111111111,2.0952380952381,0.888888888888889
"198",1851,"Lodingen",2013,0.0731707317073171,0.0284552845528455,2.02439024390244,0.971544715447154
"199",1851,"Lodingen",2014,0,0,2.47619047619048,1
"200",1851,"Lodingen",2015,0.0188679245283019,0.00628930817610063,2.35849056603774,0.993710691823899
"201",1851,"Lodingen",2016,0.02,0.00666666666666667,2.44,0.993333333333333
"202",1851,"Lodingen",2017,0.0784313725490196,0.0212418300653595,3.11764705882353,0.97875816993464
"203",1851,"Lodingen",2018,0,0,3.88461538461538,1
"204",1851,"Lodingen",2019,0,0,3.61538461538462,1
"205",1852,"Tjeldsund",2016,0,0,1,1
"206",1852,"Tjeldsund",2017,0.075,0.075,0.925,0.925
"207",1852,"Tjeldsund",2018,0,0,1,1
"208",1852,"Tjeldsund",2019,0,0,1,1
"209",1853,"Evenes",2015,0.0454545454545455,0.0454545454545455,0.954545454545455,0.954545454545455
"210",1854,"Ballangen",2012,0,0,1.76,1
"211",1854,"Ballangen",2013,0.04,0.0133333333333333,2.28,0.986666666666667
"212",1854,"Ballangen",2014,0,0,1.47058823529412,1
"213",1854,"Ballangen",2015,0,0,1.20408163265306,1
"214",1854,"Ballangen",2016,0.0192307692307692,0.00961538461538462,1.59615384615385,0.990384615384615
"215",1854,"Ballangen",2017,0.0208333333333333,0.0104166666666667,1.79166666666667,0.989583333333333
"216",1854,"Ballangen",2018,0,0,1.15384615384615,1
"217",1854,"Ballangen",2019,0,0,1,1
"218",1859,"Flakstad",2012,0.523809523809524,0.380952380952381,0.904761904761905,0.619047619047619
"219",1859,"Flakstad",2013,0,0,1,1
"220",1859,"Flakstad",2014,0.407407407407407,0.407407407407407,0.592592592592593,0.592592592592593
"221",1859,"Flakstad",2016,0,0,1,1
"222",1859,"Flakstad",2017,0.025,0.025,0.975,0.975
"223",1859,"Flakstad",2018,0,0,1,1
"224",1859,"Flakstad",2019,0,0,1,1
"225",1860,"Vestvagoy",2012,1,0.2578125,2.53125,0.7421875
"226",1860,"Vestvagoy",2013,0.714285714285714,0.204761904761905,2.53061224489796,0.795238095238095
"227",1860,"Vestvagoy",2014,0.0681818181818182,0.0204545454545455,2.06818181818182,0.979545454545454
"228",1860,"Vestvagoy",2015,0,0,1.72727272727273,1
"229",1860,"Vestvagoy",2016,0,0,1.90625,1
"230",1860,"Vestvagoy",2017,0.266666666666667,0.166666666666667,1.55555555555556,0.833333333333333
"231",1860,"Vestvagoy",2018,0.0217391304347826,0.0072463768115942,3.41304347826087,0.992753623188406
"232",1860,"Vestvagoy",2019,0,0,3.84615384615385,1
"233",1865,"Vagan",2012,0.488888888888889,0.185925925925926,2.4,0.814074074074074
"234",1865,"Vagan",2013,0.163265306122449,0.054421768707483,2.04081632653061,0.945578231292517
"235",1865,"Vagan",2014,0.404255319148936,0.184397163120567,2.06382978723404,0.815602836879433
"236",1865,"Vagan",2015,0,0,1.73333333333333,1
"237",1865,"Vagan",2016,0.133333333333333,0.0574074074074074,2.02222222222222,0.942592592592593
"238",1865,"Vagan",2017,0.122448979591837,0.054421768707483,2.04081632653061,0.945578231292517
"239",1865,"Vagan",2018,0.0833333333333333,0.0555555555555556,1.38888888888889,0.944444444444444
"240",1865,"Vagan",2019,0,0,2,1
"241",1866,"Hadsel",2012,0.270833333333333,0.0997354497354497,3.1875,0.90026455026455
"242",1866,"Hadsel",2013,0.307692307692308,0.0428113553113553,5.61538461538461,0.957188644688645
"243",1866,"Hadsel",2014,0.25,0.0486263736263736,4.51923076923077,0.951373626373626
"244",1866,"Hadsel",2015,0.113207547169811,0.0267295597484277,4.16981132075472,0.973270440251572
"245",1866,"Hadsel",2016,0.137254901960784,0.042483660130719,3.90196078431373,0.957516339869281
"246",1866,"Hadsel",2017,0.115384615384615,0.0205128205128205,4.19230769230769,0.979487179487179
"247",1866,"Hadsel",2018,0.26,0.113333333333333,2.86,0.886666666666667
