county,company,location_number,n,municip,source
F,Grieg Seafood Finnmark AS,10665,1,Lebesby,https://www.barentswatch.no/fiskehelse/locality/10665/2018/12
F,Hammerfest Lakseslakteri,NA,1,Hammerfest,name
F,Skrovnes AS,13815,3,Batsfjord,https://www.regnskapstall.no/informasjon-om-skrovnes-as-101326244S1?utm_source=www.1881.no&utm_medium=Teaser&utm_content=Info&utm_campaign=Finance%20Teaser
F,Troll Fish AS,17055,1,Lebesby,https://www.kyst.no/article/ny-emisjon-i-troll-fish/
F,Ultra Seafood Loppa AS,10612,1,Masoy,https://www.masoy.kommune.no/ultra-seafood-flytter-til-lngoey.314542-16670.html
N,Aga Halibut AS,13113,1,Donna,https://fisk.no/oppdrett/2161-aga-halibut-utvider
N,Bunes Fisk AS,10484,1,Bodo,https://www.norskeutslipp.no/no/Listesider/Virksomheter-med-utslippstillatelse/?f=18&SectorID=90&s=200&k=1804
N,Cermaq Norway AS,10484,1,Bodo,bought_by_Bunes
N,Codfarmeres AS,11114,1,Bodo,not_sure
N,Codfarmers AS,18715,2,Bodo,not_sure
N,Codfarmers ASA,16615,1,Bodo,not_sure
N,Helgelandstorsk ,15758,1,Luroy,https://www.regnskapstall.no/informasjon-om-helgelandstorsk-as-100964773S0
N,Helgelandstorsk AS,15758,1,Luroy,same_as_above
N,Kvarøy Torsk AS,28136,1,Luroy,google_maps
N,Lofilab AS,10492,1,Vestvagoy,https://www.kyst.no/article/lofilab-doblar-produksjonen-1/
N,Mainstream Norway AS,13191,1,Steigen,B_undersøkelse ved utløp lokalitet 13191 Nordneset. Akvaplan-niva
N,Nordland Akva AS,26375,2,Bo,http://www.jennskaret.no/kontakt.html
N,Seafarm Invest AS,10893,3,Luroy,https://www.kyst.no/article/nova-sea-as-og-seafarm-invest-as-fusjonerer/
N,Smolten AS,11296,1,Hamaroy,https://www.kyst.no/article/bygger-et-av-verdens-stoerste-smoltanlegg/
N,Sundsfjord Smolt AS,29316,1,Gildeskal,https://novasea.no/avdelinger/sundsfjord-smolt
N,Vesterålen Marinfisk AS,11401,1,Andoy,https://www.kyst.no/article/planlegger-settefiskanlegg-for-marine-arter-i-vesteraalen/
N,Victoria Lady (brønnbåt),NA,1,NA,https://ilaks.no/gammelbaten-er-sendt-til-syden-akvaprins-har-arvtakeren-pa-plass/
T,Akvafarm AS,11426,1,Lenvik,http://www.brkarlsen.no/settefisk-og-yngel
T,Havbruksstasjonen i Tromsø,10767,1,Tromso,na
T,Jøkelfjord Laks AS,NA,1,Kvaenangen,https://fisk.no/oppdrett/4279-morpol-overtar-jokelfjord-laks
T,Laponia Seafarms AS,16160,1,Balsfjord,https://www.folkebladet.no/nyheter/article257201.ece
T,Nofima Akvaforsk AS,23035,1,Tromso,same_as_nofima
T,Sjøfisk AS,23215,1,Harstad,https://www.nrk.no/troms/legger-ned-fiskeribruk-pa-bjarkoy-1.13748670
T,Sjølaks AS,10807,1,Kvaenangen,https://www.allkunne.no/framside/fylkesleksikon-sogn-og-fjordane/samfunn/industri-naring-og-bedrifter/sjolaks-as/1900/80272/
T,Storfjord Torsk AS,10556,1,Storfjord,https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=160228
T,Storfjord Torsk AS,10705,1,Storfjord,https://www.fis.com/fis/companies/details.asp?l=e&filterby=companies&=&country_id=&page=1&company_id=160228