"","year","kommunenr","kommune","biomchange_salmon","biomchange_trout","feed_used_kg","uttak_laks_kg","uttak_regnb_kg","lost_final_kg","production_final","efcr","county"
"1",2005,2004,"Hammerfest",0,0,5343202,8862792.5,0,204,8862588.5,0.602894064189035,"Finnmark"
"2",2005,2012,"Alta",0,0,22288483,14991562.66,1143346.216,112968,16021940.876,1.39112253456053,"Finnmark"
"3",2005,2014,"Loppa",3036265.569,662947.488,3685929,1396837.24,0,0,5096050.297,0.723291330576127,"Finnmark"
"4",2005,2017,"Kvalsund",647675.942,0,375500,0,0,0,647675.942,0.579765243156121,"Finnmark"
"5",2005,2019,"Nordkapp",0,0,25304,229582,0,0,229582,0.110217699993902,"Finnmark"
"6",2005,2022,"Lebesby",0,0,1281592,1633016,0,0,1633016,0.784800638817991,"Finnmark"
"7",2005,2023,"Gamvik",0,0,2287,774463,0,0,774463,0.00295301389478903,"Finnmark"
"8",2005,2027,"Nesseby",227866.578,0,2281297,1379492,0,0,1607358.578,1.41928318374271,"Finnmark"
"9",2005,2030,"Sor-Varanger",0,0,0,333026,0,0,333026,NA,"Finnmark"
"10",2005,1902,"Tromso",1842024.332,0,4664052,1826940.375,0,6144,3662820.707,1.27334979598825,"Troms"
"11",2005,1903,"Harstad",100244.43,0,5235541,4108661.125,0,0,4208905.555,1.24391981040782,"Troms"
"12",2005,1911,"Kvaefjord",1183451.474,0,6324663,2554627,763905,0,4501983.474,1.40486144307868,"Troms"
"13",2005,1913,"Skanland",652010.82,0,2185223,1893333.875,0,0,2545344.695,0.858517514068954,"Troms"
"14",2005,1917,"Ibestad",0,0,3689406,4430964.5,0,0,4430964.5,0.83264174199545,"Troms"
"15",2005,1919,"Gratangen",2238792.404,0,4882763,720262.75,0,14700,2944355.154,1.65834715739594,"Troms"
"16",2005,1920,"Lavangen",588359.768,0,627845,0,0,0,588359.768,1.06711069340146,"Troms"
"17",2005,1923,"Salangen",667107.533,0,1580060,1469389.375,0,0,2136496.908,0.739556417836857,"Troms"
"18",2005,1926,"Dyroy",1040904.293,0,6966975,2834964,0,0,3875868.293,1.79752625046178,"Troms"
"19",2005,1927,"Tranoy",3246983.441,0,6777617,2677072,0,0,5924055.441,1.14408399237667,"Troms"
"20",2005,1928,"Torsken",0,0,4219510,4777961.625,159545,720,4936786.625,0.854707792844906,"Troms"
"21",2005,1929,"Berg",3029667.304,0,4605120,329625,0,0,3359292.304,1.37086016436157,"Troms"
"22",2005,1931,"Lenvik",245006.46,0,1341380,932952,0,16506,1161452.46,1.15491597477868,"Troms"
"23",2005,1936,"Karlsoy",2044649.741,0,4191541,350833.5,0,900,2394583.241,1.7504260984678,"Troms"
"24",2005,1938,"Lyngen",708351.876,0,2356582,2479593.875,0,7566,3180379.751,0.740975035845649,"Troms"
"25",2005,1940,"Kafjord",0,0,5631146,3609298.75,0,23472,3585826.75,1.57038986894724,"Troms"
"26",2005,1941,"Skjervoy",2166193.895,14097.906,5409717,4412739.375,178515.07,5880,6765666.246,0.799583781301411,"Troms"
"27",2005,1942,"Nordreisa",1220030.543,0,4675202,1952599.875,105957.925,9288,3269300.343,1.43003135518284,"Troms"
"28",2005,1943,"Kvaenangen",763865.333,0,5990889,4846059.125,0,3702,5606222.458,1.06861421302522,"Troms"
"29",2005,1804,"Bodo",0,0,425852,407783.811,0,2034,405749.811,1.04954331081623,"Nordland"
"30",2005,1811,"Bindal",0,0,3554451,2331758,0,0,2331758,1.52436530720598,"Nordland"
"31",2005,1812,"Somna",0,0,5298452,5261384.445,0,34734,5226650.445,1.01373758504717,"Nordland"
"32",2005,1813,"Bronnoy",0,0,4910265,4899382.656,0,74436,4824946.656,1.0176827538381,"Nordland"
"33",2005,1815,"Vega",212246.553,0,712805,561812,0,5190,768868.553,0.927083045884437,"Nordland"
"34",2005,1816,"Vevelstad",0,224419.085,1661570,1527293.25,459791.808,8628,2202876.143,0.754273001357753,"Nordland"
"35",2005,1818,"Heroy",1884787.789,0,3376002,2354355.375,0,4806,4234337.164,0.797291729317755,"Nordland"
"36",2005,1820,"Alstahaug",0,0,5291750,6042713.016,0,40866,6001847.016,0.881686918359133,"Nordland"
"37",2005,1824,"Vefsn",1406456.966,0,1665500,508761,0,1518,1913699.966,0.870303615817695,"Nordland"
"38",2005,1827,"Donna",0,0,4242586,5449411.279,0,34974,5414437.279,0.783569146964718,"Nordland"
"39",2005,1828,"Nesna",0,0,1441950,1590739,0,8082,1582657,0.911094444342647,"Nordland"
"40",2005,1833,"Rana",1171962.774,0,3016500,1346261.625,0,3234,2514990.399,1.19940815726351,"Nordland"
"41",2005,1834,"Luroy",0,0,10551569,6843423.75,0,25668,6817755.75,1.54766016661715,"Nordland"
"42",2005,1835,"Traena",0,0,2197500,2111309.375,0,7794,2103515.375,1.04467978989695,"Nordland"
"43",2005,1836,"Rodoy",547086.266000001,0,14143170,11936099.625,0,37536,12445649.891,1.13639465386436,"Nordland"
"44",2005,1837,"Meloy",474810.41,0,8881568,7240948.537,0,59940,7655818.947,1.1601068496376,"Nordland"
"45",2005,1838,"Gildeskal",0,699497.576,10942564,3449294.891,5378155,3108,9523839.467,1.14896560761192,"Nordland"
"46",2005,1840,"Saltdal",0,0,1115320,1002227.625,0,1314,1000913.625,1.11430194588469,"Nordland"
"47",2005,1841,"Fauske",95734.4840000001,0,1551350,1350711.436,0,528,1445917.92,1.0729170574219,"Nordland"
"48",2005,1845,"Sorfold",499279.515,0,6672959,5532392.443,0,73128,5958543.958,1.1198975868997,"Nordland"
"49",2005,1848,"Steigen",0,0,8981990,9143834.5,0,17622,9126212.5,0.984196894385267,"Nordland"
"50",2005,1849,"Hamaroy",1582441.948,0,2916252,0,787042.227,16026,2353458.175,1.23913483187353,"Nordland"
"51",2005,1850,"Tysfjord",0,0,902635,295626.769,0,78,295548.769,3.05409832378629,"Nordland"
"52",2005,1851,"Lodingen",935152.465,0,2771533,886996,0,0,1822148.465,1.52102479750463,"Nordland"
"53",2005,1854,"Ballangen",0,0,961978,867719.5,0,5562,862157.5,1.11577988940536,"Nordland"
"54",2005,1859,"Flakstad",0,0,2684500,1748344,0,0,1748344,1.5354529772173,"Nordland"
"55",2005,1860,"Vestvagoy",1163151.389,1238.7,1169335,0,0,0,1164390.089,1.00424678211084,"Nordland"
"56",2005,1865,"Vagan",1164429.198,926837.26,12689536,5575721,470194,28428,8108753.458,1.56491821655777,"Nordland"
"57",2005,1866,"Hadsel",0,0,9109763,8261775,916101,0,9177876,0.992578566108324,"Nordland"
"58",2005,1867,"Bo",77820.9010000001,0,3461400,3673144.625,0,316926,3434039.526,1.00796743129858,"Nordland"
"59",2005,1868,"Oksnes",691811.166,213624.116,11016155,7535727.657,539615.516,15840,8964938.455,1.22880430861809,"Nordland"
"60",2005,1870,"Sortland",519315.905,0,4056850,2330055,0,1086,2848284.905,1.42431327458796,"Nordland"
"61",2006,2004,"Hammerfest",116049.171,0,1217960,1301918,0,0,1417967.171,0.858947953739332,"Finnmark"
"62",2006,2012,"Alta",1034035.325,0,19458582,16089357.163,114199.53,94992,17142600.018,1.13510097532277,"Finnmark"
"63",2006,2014,"Loppa",742993.534,1383508.319,9962016,4542131.543,669409.089,120504,7217538.485,1.38025117852905,"Finnmark"
"64",2006,2017,"Kvalsund",2254045.177,0,3351825,697056,0,0,2951101.177,1.13578789711553,"Finnmark"
"65",2006,2019,"Nordkapp",0,129161.352,123468,0,0,0,129161.352,0.955920622447495,"Finnmark"
"66",2006,2027,"Nesseby",0,0,130929,1006289,0,0,1006289,0.130110733596412,"Finnmark"
"67",2006,2030,"Sor-Varanger",89798.238,745789.639,761459,5000,4887,0,845474.877,0.900628771728719,"Finnmark"
"68",2006,1902,"Tromso",102390.977,0,5979329,4285715,0,23490,4364615.977,1.3699553480785,"Troms"
"69",2006,1903,"Harstad",397188.86,0,5941257,2971816,0,0,3369004.86,1.76350502504173,"Troms"
"70",2006,1911,"Kvaefjord",161484.039,377175.061,6322215,3283997,1082257,0,4904913.1,1.28895555764281,"Troms"
"71",2006,1913,"Skanland",1566514.32,0,8432735,4596796.25,0,0,6163310.57,1.36821516686932,"Troms"
"72",2006,1917,"Ibestad",2479482.305,0,5193959,2706226.875,0,5088,5180621.18,1.00257455998742,"Troms"
"73",2006,1919,"Gratangen",0,0,2712326,1742535,0,0,1742535,1.55654032774091,"Troms"
"74",2006,1920,"Lavangen",1501273.859,0,2935542,716406.75,0,0,2217680.609,1.32369917836081,"Troms"
"75",2006,1923,"Salangen",0,8760.792,975337,1998972,0,0,2007732.792,0.485790242549368,"Troms"
"76",2006,1926,"Dyroy",0,0,3826335,4576388,0,0,4576388,0.836103713234105,"Troms"
"77",2006,1927,"Tranoy",405639.646,85270.34,5629887,4672659,0,0,5163568.986,1.09030924449045,"Troms"
"78",2006,1928,"Torsken",4129126.031,0,8518966,5284973.75,0,0,9414099.781,0.904915626366463,"Troms"
"79",2006,1929,"Berg",0,34198.5,6568715,4876417,0,0,4910615.5,1.33765614514107,"Troms"
"80",2006,1931,"Lenvik",48848.768,0,1600900,2317553,0,8136,2358265.768,0.678846303806416,"Troms"
"81",2006,1936,"Karlsoy",0,0,6441723,5144302.125,0,18186,5126116.125,1.25664788758565,"Troms"
"82",2006,1938,"Lyngen",864197.605,0,1598630,427602.375,0,1332,1290467.98,1.23879865659278,"Troms"
"83",2006,1940,"Kafjord",0,0,2416751,2556385.875,0,6822,2549563.875,0.947907610277071,"Troms"
"84",2006,1941,"Skjervoy",69978.156,229994.598,9411090,7230399.75,0,18312,7512060.504,1.25279741756457,"Troms"
"85",2006,1942,"Nordreisa",1508681.767,0,6297215,3737744,0,18390,5228035.767,1.204508783155,"Troms"
"86",2006,1943,"Kvaenangen",0,0,6804103,4777086.375,0,50730,4726356.375,1.43960853988713,"Troms"
"87",2006,1804,"Bodo",340198.379,0,1739372,1171123.875,0,1140,1510182.254,1.15176297125261,"Nordland"
"88",2006,1811,"Bindal",1414512.602,0,4124646,3654817.375,0,0,5069329.977,0.813647172055062,"Nordland"
"89",2006,1812,"Somna",3435186.547,0,4093839,486725.625,0,2214,3919698.172,1.04442710136305,"Nordland"
"90",2006,1813,"Bronnoy",1235730.547,0,3555140,3164181.037,0,33636,4366275.584,0.814227121400132,"Nordland"
"91",2006,1815,"Vega",0,0,2003500,2250513,0,12594,2237919,0.895251347345458,"Nordland"
"92",2006,1816,"Vevelstad",3337877.506,58419.841,5216731,281901.375,1105023.543,7452,4775770.265,1.09233290349656,"Nordland"
"93",2006,1818,"Heroy",872370.836,0,7911931,5328285.515,0,14916,6185740.351,1.27905966805104,"Nordland"
"94",2006,1820,"Alstahaug",2036858.667,0,2690900,1113624,0,12384,3138098.667,0.8574937519643,"Nordland"
"95",2006,1824,"Vefsn",0,0,2491000,3316792.5,0,12024,3304768.5,0.753759302656147,"Nordland"
"96",2006,1827,"Donna",873722.853,0,861159,445974.606,0,2418,1317279.459,0.653740551495231,"Nordland"
"97",2006,1828,"Nesna",392739.084,0,1046825,834492.375,0,4416,1222815.459,0.856077662655719,"Nordland"
"98",2006,1833,"Rana",0,0,1127500,1880656.875,0,11532,1869124.875,0.603223473766032,"Nordland"
"99",2006,1834,"Luroy",1418470.943,0,11731972,9045311.625,0,21966,10441816.568,1.12355660756901,"Nordland"
"100",2006,1835,"Traena",1424292.24,0,1474500,219667.5,0,0,1643959.74,0.896919774933174,"Nordland"
"101",2006,1836,"Rodoy",660309.855,477644.485,15691520,12356579.509,0,56988,13437545.849,1.16773703891531,"Nordland"
"102",2006,1837,"Meloy",1134295.383,0,6536083,5835906.036,0,17784,6952417.419,0.940116596298977,"Nordland"
"103",2006,1838,"Gildeskal",1009541.409,0,10928195,2936890.941,4791998,2196,8736234.35,1.250904515857,"Nordland"
"104",2006,1840,"Saltdal",0,0,305514,503741.25,0,402,503339.25,0.606974321990586,"Nordland"
"105",2006,1841,"Fauske",902376.277,0,2441565,1608367.764,0,1530,2509214.041,0.973039748744177,"Nordland"
"106",2006,1845,"Sorfold",0,0,6623002,7386419.484,0,53460,7332959.484,0.903182680124024,"Nordland"
"107",2006,1848,"Steigen",4276842.811,0,12818904,8277160.5,0,30900,12523103.311,1.02362039836725,"Nordland"
"108",2006,1849,"Hamaroy",0,0,1237825,1761493.5,0,21558,1739935.5,0.711420049766213,"Nordland"
"109",2006,1850,"Tysfjord",0,0,1011064,1035932.82,0,0,1035932.82,0.975993790794272,"Nordland"
"110",2006,1851,"Lodingen",1695765.682,0,5947243,3414237,0,810,5109192.682,1.16402793360143,"Nordland"
"111",2006,1854,"Ballangen",57752.235,23993.132,1113160,740853,0,90,822508.367,1.35337225086246,"Nordland"
"112",2006,1859,"Flakstad",0,0,3249855,2727375,0,444,2726931,1.19176282788233,"Nordland"
"113",2006,1860,"Vestvagoy",1588914.795,12398.9,3115758,0,320,0,1601633.695,1.94536241946383,"Nordland"
"114",2006,1865,"Vagan",0,0,9030223,8667430,904233,11508,9560155,0.94456868115632,"Nordland"
"115",2006,1866,"Hadsel",1075895.925,0,7700290,4061097.75,1678288,22002,6793279.675,1.13351582275317,"Nordland"
"116",2006,1867,"Bo",663678.85,0,4661259,3164747.25,0,38796,3789630.1,1.23000368822276,"Nordland"
"117",2006,1868,"Oksnes",252259.824,993163.918,10403192,5312185.875,482851.005,37998,7002462.622,1.4856476302088,"Nordland"
"118",2006,1870,"Sortland",170877.087,0,5005755,3904451.625,0,0,4075328.712,1.22830705294037,"Nordland"
"119",2007,2004,"Hammerfest",6001586.462,0,8145615,1101313.563,0,1800,7101100.025,1.14709199579258,"Finnmark"
"120",2007,2012,"Alta",0,0,18518323,14689234.237,0,50298,14638936.237,1.26500469024483,"Finnmark"
"121",2007,2014,"Loppa",1079208.154,0,9113491,4322953.125,1151676.775,10212,6543626.054,1.39272796531964,"Finnmark"
"122",2007,2017,"Kvalsund",0,0,1063448,3407505,0,0,3407505,0.312089930902523,"Finnmark"
"123",2007,2019,"Nordkapp",0,1095037.71,1146273,0,0,0,1095037.71,1.04678860785534,"Finnmark"
"124",2007,2027,"Nesseby",0,111090.391,93519,0,0,0,111090.391,0.841827984924457,"Finnmark"
"125",2007,2030,"Sor-Varanger",297483.964,774972.592,2228741,366605,600445,0,2039506.556,1.09278442545002,"Finnmark"
"126",2007,1902,"Tromso",2219387.643,0,8165682,4979252.846,0,45984,7152656.489,1.14162926914747,"Troms"
"127",2007,1903,"Harstad",0,473567.21,4389752,4107454,0,1844610,2736411.21,1.60420041547776,"Troms"
"128",2007,1911,"Kvaefjord",149037.43,0,8608643,4480296.125,1216980.205,0,5846313.76,1.47249076142639,"Troms"
"129",2007,1913,"Skanland",440019.07,481130.13,6554603,5524244,0,0,6445393.2,1.01694385379002,"Troms"
"130",2007,1917,"Ibestad",0,0,2054797,3798985.875,0,900,3798085.875,0.541008567901325,"Troms"
"131",2007,1919,"Gratangen",1208362.266,0,5836552,1074111.875,0,1962,2280512.141,2.55931634612596,"Troms"
"132",2007,1920,"Lavangen",0,0,1052201,71129.25,0,0,71129.25,14.7928032419855,"Troms"
"133",2007,1923,"Salangen",0,0,1625758,543080.25,0,0,543080.25,2.99358704353546,"Troms"
"134",2007,1926,"Dyroy",4533052.032,0,10278064,3778630.375,0,14664,8297018.407,1.23876596336446,"Troms"
"135",2007,1927,"Tranoy",2114843.072,906877.13,11755458,6309620,0,0,9331340.202,1.25978238340088,"Troms"
"136",2007,1928,"Torsken",0,176304,7316969,8863552.5,0,2190,9037666.5,0.809608210260912,"Troms"
"137",2007,1929,"Berg",1234839.597,107066.368,3258979,660062,0,0,2001967.965,1.62788768700402,"Troms"
"138",2007,1931,"Lenvik",352678.355,0,1415500,2097859.375,0,2352,2448185.73,0.578183257362586,"Troms"
"139",2007,1936,"Karlsoy",0,0,5229919,4163290.875,0,21522,4141768.875,1.26272594097854,"Troms"
"140",2007,1938,"Lyngen",1377265.815,0,5372027,1970902.125,0,44436,3303731.94,1.62604808669798,"Troms"
"141",2007,1940,"Kafjord",0,0,5577533,6630992.895,0,96318,6534674.895,0.853528766100919,"Troms"
"142",2007,1941,"Skjervoy",501682.984,120267.256,5899888,5051055.375,291490.7,17076,5947420.315,0.992007910575932,"Troms"
"143",2007,1942,"Nordreisa",1429498.051,0,5793586,4383256.5,0,39528,5773226.551,1.00352652867857,"Troms"
"144",2007,1943,"Kvaenangen",460945.098,19143.798,6679453,5789995,0,0,6270083.896,1.06528925462403,"Troms"
"145",2007,1804,"Bodo",0,0,1615891,907737.648,0,150,907587.648,1.78042418664561,"Nordland"
"146",2007,1811,"Bindal",232985.909,0,4797859,3863578.75,0,0,4096564.659,1.17119083900196,"Nordland"
"147",2007,1812,"Somna",0,0,3415278,6364690.302,0,51942,6312748.302,0.541012857889166,"Nordland"
"148",2007,1813,"Bronnoy",1136829.217,0,5345480,3541037.61,0,10674,4667192.827,1.14533086549929,"Nordland"
"149",2007,1815,"Vega",1287050.887,0,1179000,162038.25,0,408,1448681.137,0.813843688502448,"Nordland"
"150",2007,1816,"Vevelstad",0,6963.52099999995,6804301,7373667.375,1164972.515,46776,8498827.411,0.800616446357437,"Nordland"
"151",2007,1818,"Heroy",0,0,3981401,4325063.647,0,20466,4304597.647,0.924918267976742,"Nordland"
"152",2007,1820,"Alstahaug",0,0,4419500,5454847.125,0,44148,5410699.125,0.816807569206687,"Nordland"
"153",2007,1824,"Vefsn",1331629.299,0,1528000,0,0,0,1331629.299,1.14746649172369,"Nordland"
"154",2007,1827,"Donna",425103.169,801.99,4907730,3673765.875,17370,17628,4099413.034,1.19717870809697,"Nordland"
"155",2007,1828,"Nesna",0,0,1502050,1399224.375,0,7938,1391286.375,1.07961238389904,"Nordland"
"156",2007,1833,"Rana",0,0,3528000,3823329.375,0,16554,3806775.375,0.926768630260986,"Nordland"
"157",2007,1834,"Luroy",3245262.405,0,14395368,10253977.002,0,15228,13484011.407,1.06758794289709,"Nordland"
"158",2007,1835,"Traena",0,0,2171500,3303822.375,0,21204,3282618.375,0.661514605699482,"Nordland"
"159",2007,1836,"Rodoy",0,2466559.389,10459464,10374475.903,452720,44232,13249523.292,0.789421911225695,"Nordland"
"160",2007,1837,"Meloy",551231.393,0,9441737,7510749.75,176552,27744,8210789.143,1.14991833739263,"Nordland"
"161",2007,1838,"Gildeskal",159749.683,0,10580468,4034380.125,4756165,15666,8934628.808,1.18420901722591,"Nordland"
"162",2007,1840,"Saltdal",2968889.15,0,2692144,423183.381,0,378,3391694.531,0.793746009669761,"Nordland"
"163",2007,1841,"Fauske",0,0,676000,1833800.265,0,7380,1826420.265,0.370122919108106,"Nordland"
"164",2007,1845,"Sorfold",4403057.802,0,6888438,1994389.011,0,22164,6375282.813,1.0804913604701,"Nordland"
"165",2007,1848,"Steigen",0,0,12903835,14304670.875,0,28302,14276368.875,0.903859735832162,"Nordland"
"166",2007,1849,"Hamaroy",5123065.989,0,5454894,0,0,0,5123065.989,1.06477137161857,"Nordland"
"167",2007,1850,"Tysfjord",872052.975,0,2228814,1389026.25,0,75120,2185959.225,1.01960456284357,"Nordland"
"168",2007,1851,"Lodingen",1366071.05,0,4112353,4130565,0,378,5496258.05,0.748209593252267,"Nordland"
"169",2007,1854,"Ballangen",0,209991.957,923130,885611.25,0,0,1095603.207,0.842576942183047,"Nordland"
"170",2007,1859,"Flakstad",802224.391,0,3006525,2100705,0,0,2902929.391,1.03568657554027,"Nordland"
"171",2007,1860,"Vestvagoy",0,65196.61,4150800,2695392.375,0,24,2760564.985,1.50360524840171,"Nordland"
"172",2007,1865,"Vagan",0,229174.59,6741290,5197890,0,9786,5417278.59,1.24440526511671,"Nordland"
"173",2007,1866,"Hadsel",1716030.597,0,12113287,6452204.75,1193248,0,9361483.347,1.29394953246185,"Nordland"
"174",2007,1867,"Bo",599481.778,0,3868423,2883823,0,163122,3320182.778,1.1651235063421,"Nordland"
"175",2007,1868,"Oksnes",0,0,11477917,7544762,1725554.8,15444,9254872.8,1.24020256658741,"Nordland"
"176",2007,1870,"Sortland",0,0,4096920,4614318,0,276,4614042,0.887924297178049,"Nordland"
"177",2008,2004,"Hammerfest",2452381.103,0,13034769,8741047.5,0,36840,11156588.603,1.16834719499247,"Finnmark"
"178",2008,2012,"Alta",0,0,11850434,15107265.647,0,198468,14908797.647,0.794861817873327,"Finnmark"
"179",2008,2014,"Loppa",0,0,8978921,6954824.25,1055212.905,122382,7887655.155,1.1383511098743,"Finnmark"
"180",2008,2017,"Kvalsund",0,0,2578180,1943530.875,0,67032,1876498.875,1.37393101288164,"Finnmark"
"181",2008,2019,"Nordkapp",0,2176736.92,3824147,0,1025741.051,20034,3182443.971,1.2016384372663,"Finnmark"
"182",2008,2027,"Nesseby",772864.839,1249968.798,2029287,0,0,0,2022833.637,1.00319025889325,"Finnmark"
"183",2008,2030,"Sor-Varanger",1740325.368,0,3787647,446922,1533889,0,3721136.368,1.01787374216435,"Finnmark"
"184",2008,1902,"Tromso",152591.237,0,7405534,6809706.199,0,88608,6873689.436,1.07737395891274,"Troms"
"185",2008,1903,"Harstad",3257199.75,0,7273457,1348819.625,1082518.81,0,5688538.185,1.27861618634806,"Troms"
"186",2008,1911,"Kvaefjord",0,300200.68,7996891,5475865,917673,0,6693738.68,1.1946822818007,"Troms"
"187",2008,1913,"Skanland",0,0,4606944,5283415.125,1317823.56,900,6600338.685,0.697986000395675,"Troms"
"188",2008,1917,"Ibestad",3460709.545,0,7472909,2736099,0,383580,5813228.545,1.28550063740871,"Troms"
"189",2008,1919,"Gratangen",0,0,617259,438651,0,1703460,0,0,"Troms"
"190",2008,1920,"Lavangen",3316519.887,0,4251077,1027159.875,0,0,4343679.762,0.978681033806838,"Troms"
"191",2008,1926,"Dyroy",922728.82,0,10971273,10247884.625,0,0,11170613.445,0.98215492407991,"Troms"
"192",2008,1927,"Tranoy",0,0,3859978,5779138.25,1097088,0,6876226.25,0.561351220809525,"Troms"
"193",2008,1928,"Torsken",2760981.107,516148.9,9442350,8797758.875,628790,2265498,10438180.882,0.904597276742229,"Troms"
"194",2008,1929,"Berg",0,0,3218243,0,0,0,0,0,"Troms"
"195",2008,1931,"Lenvik",3693357.194,392973.952,6117555,3476782.125,0,2562,7560551.271,0.809141394684419,"Troms"
"196",2008,1933,"Balsfjord",0,0,41515,0,0,0,0,0,"Troms"
"197",2008,1936,"Karlsoy",812344.454,0,9703917,5782106.166,0,119028,6475422.62,1.49857662881006,"Troms"
"198",2008,1938,"Lyngen",0,0,1367821,3349987.875,0,43806,3306181.875,0.413716199445319,"Troms"
"199",2008,1940,"Kafjord",1649772.792,0,1584598,0,0,0,1649772.792,0.960494686107055,"Troms"
"200",2008,1941,"Skjervoy",0,0,9297623,9142117.875,435670.885,85908,9491880.76,0.979534323606484,"Troms"
"201",2008,1942,"Nordreisa",383354.244,0,6873456,5001447.75,0,174,5384627.994,1.27649598220322,"Troms"
"202",2008,1943,"Kvaenangen",603426.024,161684.507,7864161,6029369,0,0,6794479.531,1.15743390853112,"Troms"
"203",2008,1804,"Bodo",0,0,59185,0,0,0,0,0,"Nordland"
"204",2008,1811,"Bindal",379113.154,0,5964456,5387504.75,0,0,5766617.904,1.03430747437987,"Nordland"
"205",2008,1812,"Somna",5195940.689,0,5954146,0,0,0,5195940.689,1.14592262621572,"Nordland"
"206",2008,1813,"Bronnoy",0,0,6000699,5409490.5,0,92196,5317294.5,1.128524854134,"Nordland"
"207",2008,1815,"Vega",105736.694,0,4660000,3482592.75,0,20046,3568283.444,1.30595006622462,"Nordland"
"208",2008,1816,"Vevelstad",3557468.27,0,5327425,0,1448410.066,0,5005878.336,1.06423381521033,"Nordland"
"209",2008,1818,"Heroy",1471290.997,0,6969246,4465202.625,0,37398,5899095.622,1.18140922720578,"Nordland"
"210",2008,1820,"Alstahaug",5621499.068,0,6619678,491896.125,0,834,6112561.193,1.08296306425214,"Nordland"
"211",2008,1824,"Vefsn",0,0,3250500,3153319.875,0,21702,3131617.875,1.03796188735192,"Nordland"
"212",2008,1827,"Donna",1707102.34,0,3032825,2208700.375,103,8850,3907055.715,0.776243089740531,"Nordland"
"213",2008,1828,"Nesna",0,0,1373650,1580982.75,0,8520,1572462.75,0.873566003391813,"Nordland"
"214",2008,1833,"Rana",278587.587,0,195635,0,0,0,278587.587,0.702238754090648,"Nordland"
"215",2008,1834,"Luroy",0,0,12073795,13364141.25,0,61680,13302461.25,0.907636171464134,"Nordland"
