yrs,knr2017,kname,county,totalarea,landarea,seaarea,trout_prod_kg,salmo_prod_kg,avg_bm_trout_kg,avg_bm_salmo_kg,dbm_trout_kg,dbm_salmo_kg,total_production,total_prod_corrected
2005,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,3609299,0,3042010,0,-1051684,2557615,2557615
2006,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,2556386,0,1160010,0,-347200,2209186,2209186
2007,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,6630993,0,2845122,0,-2173865,4457128,4457128
2008,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,0,0,493075,0,1649773,1649773,1649773
2009,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,5319854,0,2364062,0,-1831145,3488709,3488709
2010,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,0,0,0,0,0,0,0
2011,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,0,0,279913,0,1033310,1033310,1033310
2012,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,3018399,0,2497847,0,2077010,5095409,5095409
2013,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,4535175,0,1567610,0,1656683,6191858,6191858
2014,1940,Kafjord,Troms,1115.3499999999999,991.18,124.17,0,3626107,0,1066904,0,-2656492,969615,969615
2005,1941,Skjervoy,Troms,1561.7,473.7,1088,178515,4412739,2649,2275684,14098,2166194,6771546,6771546
2006,1941,Skjervoy,Troms,1561.7,473.7,1088,0,7230400,99614,4449840,229994,69978,7530372,7530372
2007,1941,Skjervoy,Troms,1561.7,473.7,1088,291491,5051055,236366,2096065,120267,501683,5964496,5964496
2008,1941,Skjervoy,Troms,1561.7,473.7,1088,435671,9142118,144357,4431263,-444687,-1609414,7523688,7523688
2009,1941,Skjervoy,Troms,1561.7,473.7,1088,0,3681982,0,2222713,0,2951098,6633080,6633080
2010,1941,Skjervoy,Troms,1561.7,473.7,1088,0,11173942,0,5370174,0,-1092693,10081249,10081249
2011,1941,Skjervoy,Troms,1561.7,473.7,1088,0,3704649,0,2983665,0,3329609,7034258,7034258
2012,1941,Skjervoy,Troms,1561.7,473.7,1088,0,13181916,0,7002522,0,-76873,13105043,13105043
2013,1941,Skjervoy,Troms,1561.7,473.7,1088,0,11066742,0,5213130,0,886920,11953662,11953662
2014,1941,Skjervoy,Troms,1561.7,473.7,1088,0,13209300,0,5873445,0,-682102,12527198,12527198
2005,1942,Nordreisa,Troms,3681.17,3437.45,243.72,105958,1952600,43358,1867247,0,1220031,3278589,3278589
2006,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,3737744,0,2723649,0,1508682,5246426,5246426
2007,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,4383257,0,2858992,0,1429498,5812755,5812755
2008,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,5001448,0,3636147,0,383354,5384802,5384802
2009,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,5119708,0,3819120,0,1440647,6560355,6560355
2010,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,7027058,0,3726619,0,-1710727,5316331,5316331
2011,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,3637254,0,1010451,0,-1734059,1903195,1903195
2012,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,3655982,0,3298501,0,3538253,7194235,7194235
2013,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,11273658,0,4452741,0,-5388004,5885654,5885654
2014,1942,Nordreisa,Troms,3681.17,3437.45,243.72,0,0,0,862517,0,2881225,2881225,2881225
2005,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,4846059,0,2935577,0,763865,5609924,5609924
2006,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,4777086,0,3248162,0,-184022,4593064,4593064
2007,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,5789995,3368,3282409,19144,460946,6270085,6270085
2008,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,6029369,80981,3737563,161685,603426,6794480,6794480
2009,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,243211,5825327,99513,3685259,-204932,487303,6350909,6350909
2010,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,7546025,0,4396660,0,193617,7739642,7739642
2011,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,6444461,0,3722339,0,281511,6725972,6725972
2012,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,7463024,0,4197494,0,-224437,7238587,7238587
2013,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,8029935,0,4073755,0,735363,8765298,8765298
2014,1943,Kvaenangen,Troms,2682.48,2109.4699999999998,573.01,0,8580142,0,6070514,0,9625918,18206060,18206060
2005,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2006,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2007,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2008,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2009,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2010,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2011,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2012,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2013,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2014,2002,Vardo,Finnmark,2487.5300000000002,600.62,1886.91,0,0,0,0,0,0,0,0
2005,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2006,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2007,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2008,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2009,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2010,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2011,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2012,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2013,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2014,2003,Vadso,Finnmark,1962.98,1257.6500000000001,705.34,0,0,0,0,0,0,0,0
2005,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,8862793,0,3192253,0,-5162685,3700108,3700108
2006,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,1301918,0,586496,0,116049,1417967,1417967
2007,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,1101314,0,3685956,0,6001586,7102900,7102900
2008,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,8741048,0,7000146,0,2452381,11193429,11193429
2009,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,12759532,0,7832287,0,-340594,12418938,12418938
2010,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,8856950,0,7580246,0,1875545,10732495,10732495
2011,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,11356254,0,12315408,0,8462278,19818532,19818532
2012,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,21270786,0,9357787,0,-7857727,13413059,13413059
2013,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,10790406,0,12880428,0,7943604,18734010,18734010
2014,2004,Hammerfest,Finnmark,3227.78,848.2,2379.58,0,23620325,0,7827657,0,-11834768,11785557,11785557
2005,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,1143346,14991563,561336,11619677,-429238,-463807,15241864,15241864
2006,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,114200,16089357,56457,9683529,-56827,1034036,17180766,17180766
2007,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,14689234,0,10867831,0,-510212,14179022,14179022
2008,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,15107266,0,6661395,0,-2477241,12630025,12630025
2009,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,6295743,0,7100482,0,9345178,15640921,15640921
2010,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,16497057,952,15539495,0,6360657,22857714,22857714
2011,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,23696719,0,11310455,0,-6217722,17478997,17478997
2012,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,15928260,0,13514252,0,6628866,22557126,22557126
2013,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,24107346,0,15748441,0,-1168887,22938459,22938459
2014,2012,Alta,Finnmark,4557.6499999999996,3849.43,708.22,0,24690274,0,15819896,0,-2926880,21763394,21763394
2005,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,1396837,205872,1247780,662947,3036266,5096050,5096050
2006,2014,Loppa,Finnmark,2808.57,688.88,2119.69,669409,4542132,1337628,3422384,1383509,742994,7338044,7338044
2007,2014,Loppa,Finnmark,2808.57,688.88,2119.69,1151677,4322953,1395556,4145552,-458921,1079208,6094917,6094917
2008,2014,Loppa,Finnmark,2808.57,688.88,2119.69,1055213,6954824,90719,5036543,-757089,-100351,7152597,7152597
2009,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,9365280,0,7648739,0,1510954,10876234,10876234
2010,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,10200118,0,4878923,0,-3003108,7197010,7197010
2011,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,6875888,0,6715180,0,4238035,11113923,11113923
2012,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,11850860,0,9286910,0,2367161,14218021,14218021
2013,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,16002547,0,10309755,0,-4544363,11458184,11458184
2014,2014,Loppa,Finnmark,2808.57,688.88,2119.69,0,10612296,0,7360593,0,12761,10625057,10625057
2005,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2006,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2007,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2008,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2009,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2010,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2011,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2012,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2013,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2014,2015,Hasvik,Finnmark,2767.91,555.54999999999995,2212.36,0,0,0,0,0,0,0,0
2005,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,0,0,133329,0,647676,647676,647676
2006,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,697056,0,1691174,0,2254045,2951101,2951101
2007,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,3407505,0,414245,0,-760036,2647469,2647469
2008,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,1943531,0,1520296,0,-375303,1568228,1568228
2009,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,377742,0,804827,0,1736701,2114443,2114443
2010,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,3018141,0,2131413,0,-285397,2732744,2732744
2011,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,2495377,0,3867716,0,3652245,6147622,6147622
2012,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,8222246,0,6648041,0,3881508,12103754,12103754
2013,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,9294399,0,3265681,0,-2173073,7121326,7121326
2014,2017,Kvalsund,Finnmark,2143.7199999999998,1844.29,299.43,0,9082420,0,8547014,0,2440010,11522430,11522430
2005,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2006,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2007,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2008,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2009,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2010,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,0,0,0,0,0
2011,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,0,0,837110,0,2747042,2747042,2747042
2012,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,1888127,0,4951819,0,3649990,5538117,5538117
2013,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,8724837,0,3528347,0,-4160064,4564773,4564773
2014,2018,Masoy,Finnmark,3882.59,1135.82,2746.77,0,1359325,0,7368217,0,10664010,12023335,12023335
2005,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,0,229582,0,26359,0,-316311,-86729,0
2006,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,0,0,32010,0,129161,0,129161,129161
2007,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,0,0,518083,0,1095037,0,1095037,1095037
2008,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,1025741,0,2423621,0,2176737,0,3202478,3202478
2009,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,2985196,0,4402457,0,1834790,0,4819986,4819986
2010,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,4909752,0,2315956,55107,-3430569,188147,1667330,1667330
2011,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,671284,0,450734,470475,857365,774541,2303190,2303190
2012,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,641193,909838,2287226,1389155,2137619,794055,4482705,4482705
2013,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,2760763,889711,2039826,2415957,-257085,3448937,6842326,6842326
2014,2019,Nordkapp,Finnmark,4098.47,925.68,3172.78,1963535,4465225,53024,3419729,-636286,-710181,5082293,5082293
2005,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2006,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2007,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2008,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2009,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2010,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2011,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2012,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2013,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2014,2020,Porsanger,Finnmark,5995.96,4872.58,1123.3800000000001,0,0,0,0,0,0,0,0
2005,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,1633016,0,851693,0,-966687,666329,666329
2006,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,0,0,0,0,0,0,0
2007,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,0,0,0,0,0,0,0
2008,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,0,0,0,0,0,0,0
2009,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,0,0,116292,0,328105,328105,328105
2010,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,0,0,974989,0,1704504,1704504,1704504
2011,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,1974085,0,1953753,0,1786058,3760143,3760143
2012,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,4351067,0,3265258,0,1546332,5897399,5897399
2013,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,5157523,0,3522191,0,4048253,9205776,9205776
2014,2022,Lebesby,Finnmark,5729.23,3459.39,2269.84,0,11133367,0,6595911,0,422148,11555515,11555515
2005,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2006,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2007,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2008,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2009,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2010,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2011,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2012,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2013,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2014,2023,Gamvik,Finnmark,3105.25,1416.34,1688.92,0,0,0,0,0,0,0,0
2005,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2006,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2007,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2008,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2009,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2010,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2011,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2012,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2013,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2014,2024,Berlevag,Finnmark,2440.9499999999998,1121.78,1319.16,0,0,0,0,0,0,0,0
2005,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2006,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2007,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2008,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2009,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2010,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2011,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2012,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2013,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2014,2025,Tana,Finnmark,4365.97,4051.36,314.62,0,0,0,0,0,0,0,0
2005,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,1379492,0,1376294,0,227867,1607359,1607359
2006,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,1006289,0,229397,0,-927174,79115,79115
2007,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,0,24605,0,111090,0,111090,111090
2008,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,0,584707,275927,1249969,772865,2022834,2022834
2009,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,2667569,314878,1947664,1900437,-214258,3084896,5853085,5853085
2010,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,1235365,5471313,117208,3495815,-942386,-1665664,4098628,4098628
2011,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,4491384,0,2691517,0,-503768,3987616,3987616
2012,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,4181368,0,4529561,0,3657593,7838961,7838961
2013,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,6925281,0,2745551,0,-1729227,5196054,5196054
2014,2027,Nesseby,Finnmark,1637.39,1436.89,200.5,0,3151103,0,824431,0,-849398,2301705,2301705
2005,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2006,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2007,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2008,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2009,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2010,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2011,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2012,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2013,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2014,2028,Batsfjord,Finnmark,2814.18,1434.72,1379.46,0,0,0,0,0,0,0,0
2005,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,333026,0,0,0,0,333026,333026
2006,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,4887,5000,269489,27619,745790,89798,845475,845475
2007,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,600445,366605,696307,284606,774973,297484,2039507,2039507
2008,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,1533889,446922,818554,1133761,-915113,1740325,2806023,2806023
2009,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,887462,2457449,385705,2911251,-733700,2134845,4746056,4746056
2010,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,6040198,0,3704639,0,-54055,5986143,5986143
2011,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,3809975,0,3859442,0,3458871,7268846,7268846
2012,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,7367480,0,2739945,0,-4732350,2635130,2635130
2013,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,4964011,0,5060179,0,5557039,10521050,10521050
2014,2030,Sor-Varanger,Finnmark,5107.32,3971.62,1135.7,0,12865880,0,4635384,0,-5373009,7492871,7492871
